season,round,drivers,race_mae,exact_position_rate,top3_accuracy,top10_accuracy
2026,1,22,4.886854609354435,0.045454545454545456,0.0,0.6
2026,2,22,5.437222304013259,0.045454545454545456,0.3333333333333333,0.6
2026,3,22,3.5369930833622334,0.045454545454545456,0.6666666666666666,0.7
2026,4,22,3.6044440207851496,0.045454545454545456,0.3333333333333333,0.8
2026,5,22,5.082297823257719,0.0,0.0,0.6
2026,6,22,5.873595805882579,0.0,0.3333333333333333,0.5
2026,7,22,3.794817465772754,0.09090909090909091,0.6666666666666666,0.8
2026,8,22,3.1920338215401967,0.09090909090909091,0.3333333333333333,0.9
2026,9,22,4.53497549403076,0.0,0.3333333333333333,0.7
2026,10,22,3.4902336800997613,0.13636363636363635,0.3333333333333333,0.7
2026,11,22,3.3467905821810646,0.13636363636363635,0.0,0.8
2026,12,22,3.5090245124160386,0.18181818181818182,0.3333333333333333,0.7
