season,round,drivers,race_mae,exact_position_rate,top3_accuracy,top10_accuracy
2026,1,22,3.80303433195746,0.045454545454545456,1.0,0.7
2026,2,22,4.590600274728834,0.0,0.6666666666666666,0.7
2026,3,22,2.550459646924484,0.045454545454545456,0.6666666666666666,0.8
2026,4,22,3.1319590724343485,0.22727272727272727,0.6666666666666666,0.8
2026,5,22,4.81640342395149,0.13636363636363635,0.3333333333333333,0.6
2026,6,22,5.380082708356731,0.045454545454545456,0.6666666666666666,0.5
2026,7,22,3.6709995091908096,0.0,1.0,0.7
2026,8,22,2.492129201649254,0.045454545454545456,0.6666666666666666,1.0
2026,9,22,3.9722112670747096,0.0,0.6666666666666666,0.7
2026,10,22,2.611122045772141,0.13636363636363635,0.6666666666666666,0.9
2026,11,22,2.9022617759364717,0.13636363636363635,0.3333333333333333,0.9
2026,12,22,2.7501570416078205,0.18181818181818182,1.0,0.8
