season,round,drivers,race_mae,exact_position_rate,top3_accuracy,top10_accuracy
2026,1,22,3.6557039568060077,0.09090909090909091,0.3333333333333333,0.7
2026,2,22,5.110425737859721,0.045454545454545456,0.6666666666666666,0.7
2026,3,22,2.41549267674263,0.22727272727272727,0.6666666666666666,0.9
2026,4,22,3.0005462722272664,0.13636363636363635,0.3333333333333333,0.9
2026,5,22,5.198673223257973,0.09090909090909091,0.6666666666666666,0.4
2026,6,22,5.608998412455576,0.0,0.6666666666666666,0.5
2026,7,22,3.621898818740438,0.0,0.6666666666666666,0.8
2026,8,22,2.2079475472739776,0.18181818181818182,0.6666666666666666,1.0
2026,9,22,4.061807172532853,0.045454545454545456,0.3333333333333333,0.7
2026,10,22,2.594462828668604,0.22727272727272727,0.3333333333333333,0.8
2026,11,22,2.962968802405832,0.09090909090909091,0.3333333333333333,0.8
2026,12,22,3.073413968832659,0.045454545454545456,0.6666666666666666,0.8
