season,round,drivers,race_mae,exact_position_rate,top3_accuracy,top10_accuracy
2026,1,22,4.440213790369186,0.09090909090909091,0.3333333333333333,0.6
2026,2,22,5.079297715359171,0.0,0.6666666666666666,0.6
2026,3,22,3.0474713953982775,0.045454545454545456,0.3333333333333333,0.9
2026,4,22,3.0459191329711306,0.18181818181818182,0.6666666666666666,0.8
2026,5,22,5.024866484582876,0.09090909090909091,0.3333333333333333,0.6
2026,6,22,5.845714131065276,0.045454545454545456,0.3333333333333333,0.5
2026,7,22,3.9705297077928097,0.045454545454545456,0.3333333333333333,0.8
2026,8,22,3.0321186648912573,0.045454545454545456,0.3333333333333333,0.9
2026,9,22,4.148498818938992,0.13636363636363635,0.3333333333333333,0.7
2026,10,22,3.154966153068497,0.18181818181818182,0.6666666666666666,0.8
2026,11,22,3.2879389510709545,0.045454545454545456,0.0,0.8
2026,12,22,2.876395999702047,0.13636363636363635,0.6666666666666666,0.9
