season,round,race_name,session_type,session_name,session_id,driver_id,driver_code,driver_name,position,laps_completed,fastest_lap_rank,fastest_lap_time,average_lap_time,top_speed,session_timestamp,session_timezone,round_id,constructor_id,constructor_name,session_type_metadata
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_dPPwWNxA,,George Russell,5,26,5.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_gADFaAX1,,Nico Hülkenberg,6,21,6.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_0Z9Cjb1U,,Alexander Albon,7,24,7.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_WqMAI78W,,Fernando Alonso,8,23,8.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_yNfRW5Lg,,Andrea Kimi Antonelli,9,27,9.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_aEOevTUh,,Yuki Tsunoda,10,23,10.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_19q67raM,,Oliver Bearman,11,23,11.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_XkmSOlgX,,Lance Stroll,12,19,12.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_0GFvbLMc,,Esteban Ocon,13,23,13.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_q7WdJenu,,Pierre Gasly,14,23,14.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_nPms5pYt,,Carlos Sainz,15,26,15.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_VkTWWTC5,,Max Verstappen,16,24,16.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_ZiErQgDm,,Isack Hadjar,17,23,17.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_uLDLxCqO,,Liam Lawson,18,23,18.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_d1a4FipV,,Gabriel Bortoleto,19,24,19.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,2,Chinese Grand Prix,FP1,Practice One,session_X1sv7FSq,driver_g0a6B2Hm,,Jack Doohan,20,17,20.0,,,,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_BOyYHlVE,,Lando Norris,1,24,1.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_dPPwWNxA,,George Russell,2,29,2.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_pAXWnsA8,,Charles Leclerc,3,27,3.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_cAPSXDn9,,Lewis Hamilton,4,25,4.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_VkTWWTC5,,Max Verstappen,5,23,5.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_aEOevTUh,,Yuki Tsunoda,6,25,6.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_WqMAI78W,,Fernando Alonso,7,25,7.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_ZiErQgDm,,Isack Hadjar,8,28,8.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_yNfRW5Lg,,Andrea Kimi Antonelli,9,28,9.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_nPms5pYt,,Carlos Sainz,10,28,10.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_0Z9Cjb1U,,Alexander Albon,11,25,11.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_YfoAc0Ur,,Ryo Hirakawa,12,24,12.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_uLDLxCqO,,Liam Lawson,13,28,13.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
2025,3,Japanese Grand Prix,FP1,Practice One,session_oBd8NFLw,driver_q7WdJenu,,Pierre Gasly,14,23,14.0,,,,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,,,FP1
