season,round,race_date,mae_raw_prediction,race_position_mae,winner_correct,top3_overlap,top5_overlap,top10_overlap,podium_exact,exact_position_accuracy,spearman_rank_correlation,grid_size
2025,1,2025-03-16,4.351139659802013,5.8,1,0.3333333333333333,0.4,0.7,0,0.05,0.37293233082706767,20
2025,2,2025-03-23,4.301902131942185,5.8,0,0.6666666666666666,0.6,0.5,0,0.1,0.15789473684210525,20
2025,3,2025-04-06,2.5518710078123577,2.8,1,0.6666666666666666,0.8,0.7,0,0.2,0.7849624060150376,20
2025,4,2025-04-13,3.1279880844174057,3.3,0,0.6666666666666666,0.6,0.7,0,0.1,0.7473684210526315,20
2025,5,2025-04-20,2.6105091706415986,2.9,0,0.3333333333333333,1.0,0.9,0,0.05,0.7443609022556391,20
2025,6,2025-05-04,2.0294855924074815,2.1,0,0.6666666666666666,0.8,1.0,0,0.2,0.8977443609022555,20
2025,7,2025-05-18,2.962028161705148,3.2,0,1.0,0.8,0.9,1,0.1,0.7037593984962407,20
2025,8,2025-05-25,3.88312652773311,4.5,1,0.6666666666666666,0.8,0.7,0,0.1,0.5218045112781955,20
2025,9,2025-06-01,4.175170225618338,4.7368421052631575,0,0.6666666666666666,0.6,0.7,0,0.05263157894736842,0.38947368421052625,19
2025,10,2025-06-15,4.106104557417733,5.1,0,0.3333333333333333,0.6,0.7,0,0.05,0.33383458646616543,20
2025,11,2025-06-29,4.459519068013729,5.6,0,0.6666666666666666,0.8,0.5,0,0.1,0.21804511278195485,20
2025,12,2025-07-06,4.236645493136369,4.8,1,0.6666666666666666,0.8,0.6,0,0.25,0.4090225563909774,20
2025,13,2025-07-27,3.640603634985646,4.5,0,1.0,0.8,0.6,1,0.05,0.5278195488721804,20
2025,14,2025-08-03,3.6305219075251665,3.5,1,0.6666666666666666,0.8,0.7,0,0.15,0.6932330827067669,20
2025,15,2025-08-31,5.4818545813202775,6.5,0,0.6666666666666666,0.6,0.5,0,0.1,-0.05864661654135337,20
2025,16,2025-09-07,3.062082936657154,3.0,0,0.6666666666666666,0.8,0.8,0,0.15,0.7428571428571428,20
2025,17,2025-09-21,4.090266931786737,3.9,0,0.3333333333333333,0.4,0.8,0,0.15,0.5503759398496241,20
2025,18,2025-10-05,3.0768482145157905,3.5,0,0.6666666666666666,0.6,0.7,0,0.0,0.7503759398496239,20
2025,19,2025-10-19,3.450142704994004,3.4,1,0.6666666666666666,0.6,0.8,0,0.15,0.724812030075188,20
2025,20,2025-10-26,3.1678717419038445,4.1,0,0.3333333333333333,0.6,0.7,0,0.1,0.6270676691729322,20
2025,21,2025-11-09,4.099159207322087,5.3,0,0.6666666666666666,1.0,0.5,0,0.0,0.3744360902255639,20
2025,22,2025-11-23,4.149091764508799,4.4,1,0.3333333333333333,0.6,0.7,0,0.15,0.3578947368421052,20
2025,23,2025-11-30,3.289371070295548,3.8,1,0.3333333333333333,0.8,0.8,0,0.1,0.675187969924812,20
2025,24,2025-12-07,3.7190182215459813,3.8,0,0.6666666666666666,0.8,0.6,0,0.15,0.5789473684210527,20
