stage,best_model,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2,test_rows
pre_practice,gradient_boosting,3.715025691020933,4.772071641382068,0.31263962189949424,4.190774551522798,5.40559979728496,0.2740246169339825,264
fp1,gradient_boosting,3.597323276392087,4.660426226070276,0.3352516913996243,3.793436613702238,5.154580565547063,0.32947797159816816,243
fp2,gradient_boosting,3.6070154260172544,4.722390640234859,0.3260697347535667,3.405658719276353,4.771624236755934,0.4377933201799187,153
fp3,gradient_boosting,3.4520142997437304,4.57046932518761,0.3687259534279721,3.3010989110342646,4.680600520630241,0.456566336911847,153
qualifying,gradient_boosting,3.0422474066029146,4.136284188789449,0.4817059954452637,3.569135199549483,4.963520368364433,0.39069347467073534,261
