season,round,race_date,mae_raw_prediction,race_position_mae,winner_correct,top3_overlap,top5_overlap,top10_overlap,podium_exact,exact_position_accuracy,spearman_rank_correlation,grid_size
2025,1,2025-03-16,4.360516062064753,5.3,0,0.3333333333333333,0.4,0.7,0,0.0,0.43458646616541347,20
2025,2,2025-03-23,4.334592960430422,5.8,0,0.6666666666666666,0.6,0.5,0,0.0,0.20601503759398496,20
2025,3,2025-04-06,2.6454181210699077,2.7,1,0.6666666666666666,0.8,0.7,0,0.15,0.8225563909774435,20
2025,4,2025-04-13,2.850239299131809,2.5,0,0.6666666666666666,0.8,0.8,0,0.15,0.8105263157894737,20
2025,5,2025-04-20,2.5551214378730216,2.5,0,0.6666666666666666,1.0,0.9,0,0.3,0.7669172932330827,20
2025,6,2025-05-04,2.4027030297234395,2.3,0,0.6666666666666666,0.8,1.0,0,0.3,0.863157894736842,20
2025,7,2025-05-18,2.6653075325208837,2.7,1,1.0,0.6,0.9,1,0.25,0.7398496240601502,20
2025,8,2025-05-25,3.5188349133830386,3.9,1,0.6666666666666666,1.0,0.7,0,0.25,0.5969924812030075,20
2025,9,2025-06-01,3.3575226758926675,3.6842105263157894,0,0.6666666666666666,0.8,0.8,0,0.15789473684210525,0.543859649122807,19
2025,10,2025-06-15,4.003948702703822,4.6,0,0.6666666666666666,0.8,0.7,0,0.1,0.39999999999999997,20
2025,11,2025-06-29,4.404389093619772,5.2,0,0.6666666666666666,0.8,0.6,0,0.15,0.2902255639097744,20
2025,12,2025-07-06,4.588410757499011,5.0,1,0.6666666666666666,0.8,0.5,0,0.15,0.38947368421052625,20
2025,13,2025-07-27,3.725861862918555,4.5,0,0.6666666666666666,0.8,0.6,0,0.0,0.5398496240601504,20
2025,14,2025-08-03,3.0882355127857455,2.9,1,0.6666666666666666,0.8,0.8,0,0.2,0.7714285714285714,20
2025,15,2025-08-31,5.235820425096198,6.5,0,0.3333333333333333,0.6,0.5,0,0.05,-0.06917293233082707,20
2025,16,2025-09-07,2.3108414562155164,2.6,0,0.6666666666666666,0.8,1.0,0,0.0,0.837593984962406,20
2025,17,2025-09-21,3.80592295972419,3.7,1,0.3333333333333333,0.4,0.8,0,0.15,0.5714285714285714,20
2025,18,2025-10-05,2.8492852199029173,2.8,0,0.6666666666666666,0.8,0.8,0,0.2,0.801503759398496,20
2025,19,2025-10-19,3.684800852123349,3.9,1,0.6666666666666666,0.6,0.8,0,0.05,0.6436090225563909,20
2025,20,2025-10-26,3.261221219379233,4.1,0,0.6666666666666666,0.4,0.7,0,0.0,0.6436090225563909,20
2025,21,2025-11-09,4.051107674049363,5.1,0,0.6666666666666666,1.0,0.6,0,0.05,0.4015037593984962,20
2025,22,2025-11-23,4.224096196922261,4.5,1,0.6666666666666666,0.8,0.6,0,0.1,0.39999999999999997,20
2025,23,2025-11-30,3.254795963784614,3.8,1,0.3333333333333333,0.8,0.8,0,0.15,0.6556390977443608,20
2025,24,2025-12-07,3.511481122896998,3.4,1,0.6666666666666666,0.8,0.6,0,0.1,0.6977443609022556,20
