season,round,race_date,mae_raw_prediction,race_position_mae,winner_correct,top3_overlap,top5_overlap,top10_overlap,podium_exact,exact_position_accuracy,spearman_rank_correlation,grid_size
2025,1,2025-03-16,4.11457930851322,5.1,1,0.3333333333333333,0.6,0.7,0,0.05,0.47218045112781953,20
2025,2,2025-03-23,4.093853815895651,4.6,0,0.6666666666666666,0.8,0.6,0,0.15,0.4586466165413533,20
2025,3,2025-04-06,1.762092412603069,1.1,1,0.6666666666666666,1.0,0.9,0,0.4,0.956390977443609,20
2025,4,2025-04-13,2.799599560682854,2.3,1,0.6666666666666666,0.8,0.8,0,0.4,0.7789473684210525,20
2025,5,2025-04-20,2.310483779170205,2.5,0,0.6666666666666666,1.0,0.8,0,0.2,0.7789473684210525,20
2025,6,2025-05-04,1.8033666907441883,1.6,0,0.3333333333333333,0.8,1.0,0,0.05,0.9488721804511278,20
2025,7,2025-05-18,2.8615158660844893,2.8,1,1.0,0.6,0.8,1,0.1,0.8030075187969924,20
2025,8,2025-05-25,2.8364175502510918,3.5,1,1.0,1.0,0.7,1,0.15,0.6436090225563909,20
2025,9,2025-06-01,3.2649118369864794,3.3684210526315788,0,0.6666666666666666,0.6,0.8,0,0.05263157894736842,0.5842105263157895,19
2025,10,2025-06-15,3.2152397158111183,3.8,0,0.6666666666666666,0.6,0.7,0,0.1,0.5804511278195488,20
2025,11,2025-06-29,3.647868843638547,4.1,1,1.0,0.8,0.7,1,0.2,0.5172932330827067,20
2025,12,2025-07-06,4.349990947303541,4.7,1,0.6666666666666666,0.6,0.7,0,0.2,0.4240601503759398,20
2025,13,2025-07-27,3.0908377971135055,3.2,0,0.6666666666666666,1.0,0.6,0,0.15,0.7022556390977444,20
2025,14,2025-08-03,2.126718917081308,1.9,1,0.6666666666666666,0.8,0.9,0,0.3,0.8736842105263156,20
2025,15,2025-08-31,4.925651631695979,5.8,0,0.6666666666666666,0.6,0.5,0,0.1,0.09774436090225563,20
2025,16,2025-09-07,2.2275006941787234,2.7,0,1.0,0.8,0.8,1,0.15,0.7804511278195487,20
2025,17,2025-09-21,2.7363901099289714,2.6,1,0.3333333333333333,0.8,0.9,0,0.15,0.7593984962406014,20
2025,18,2025-10-05,2.3973632041739954,2.1,0,0.6666666666666666,1.0,0.8,0,0.2,0.8796992481203006,20
2025,19,2025-10-19,3.4451181242573483,3.3,1,0.6666666666666666,0.6,0.8,0,0.2,0.6345864661654135,20
2025,20,2025-10-26,2.9190023095664346,3.3,1,0.6666666666666666,0.6,0.7,0,0.15,0.7654135338345864,20
2025,21,2025-11-09,3.085008908308083,3.5,0,0.6666666666666666,0.8,0.8,0,0.15,0.6285714285714286,20
2025,22,2025-11-23,4.2866065243183336,4.9,1,0.6666666666666666,0.6,0.6,0,0.1,0.31729323308270674,20
2025,23,2025-11-30,3.407892613959389,4.1,0,0.3333333333333333,0.8,0.8,0,0.0,0.6165413533834586,20
2025,24,2025-12-07,2.98576558920029,2.9,1,0.6666666666666666,1.0,0.7,0,0.2,0.7729323308270677,20
