season,round,race_date,mae_raw_prediction,race_position_mae,winner_correct,top3_overlap,top5_overlap,top10_overlap,podium_exact,exact_position_accuracy,spearman_rank_correlation,grid_size
2026,1,2026-03-08,4.255963104309699,4.818181818181818,0,0.3333333333333333,0.6,0.7,0,0.09090909090909091,0.4647092038396387,22
2026,2,2026-03-15,5.24126258689419,5.454545454545454,0,0.3333333333333333,0.4,0.7,0,0.13636363636363635,0.3156408808582722,22
2026,3,2026-03-29,2.7748279620321084,2.3636363636363638,0,0.3333333333333333,1.0,0.9,0,0.18181818181818182,0.8723884810841334,22
2026,4,2026-05-03,3.2926995932656187,3.727272727272727,1,0.6666666666666666,0.8,0.8,0,0.09090909090909091,0.6849237718802937,22
2026,5,2026-05-24,4.888089484906304,5.363636363636363,1,0.6666666666666666,0.6,0.6,0,0.09090909090909091,0.347261434217956,22
2026,6,2026-06-07,5.494774867847423,5.7272727272727275,1,0.6666666666666666,0.4,0.5,0,0.13636363636363635,0.2941840767927725,22
2026,7,2026-06-14,3.537420951125708,3.090909090909091,0,0.6666666666666666,0.8,0.8,0,0.0,0.7786561264822135,22
2026,8,2026-06-28,2.5332756337994913,1.9090909090909092,1,0.6666666666666666,0.8,0.9,0,0.09090909090909091,0.935629587803501,22
2026,9,2026-07-05,4.353199488044911,4.454545454545454,0,0.3333333333333333,0.6,0.7,0,0.0,0.5742518351214004,22
2026,10,2026-07-19,2.912514522189339,3.090909090909091,0,0.3333333333333333,0.6,0.8,0,0.09090909090909091,0.7402597402597403,22
2026,11,2026-07-26,2.7703708025197256,2.727272727272727,0,0.6666666666666666,0.8,0.9,0,0.18181818181818182,0.8170525127046867,22
2026,12,2026-08-23,2.887112249816838,2.4545454545454546,1,0.6666666666666666,1.0,0.8,0,0.18181818181818182,0.7989836250705817,22
