season,round,race_date,mae_raw_prediction,race_position_mae,winner_correct,top3_overlap,top5_overlap,top10_overlap,podium_exact,exact_position_accuracy,spearman_rank_correlation,grid_size
2026,1,2026-03-08,4.253072585647118,4.818181818181818,0,0.3333333333333333,0.6,0.7,0,0.13636363636363635,0.45793337097684933,22
2026,2,2026-03-15,5.1407209802717935,5.545454545454546,0,0.3333333333333333,0.6,0.7,0,0.045454545454545456,0.32241671372106157,22
2026,3,2026-03-29,3.2086806084210777,3.090909090909091,1,0.6666666666666666,0.6,0.8,0,0.09090909090909091,0.7910784867306607,22
2026,4,2026-05-03,3.4354578901482538,4.181818181818182,1,0.3333333333333333,0.6,0.8,0,0.13636363636363635,0.6103896103896105,22
2026,5,2026-05-24,4.887698869914407,5.636363636363637,1,0.6666666666666666,0.4,0.5,0,0.045454545454545456,0.38565782044042923,22
2026,6,2026-06-07,5.536778791208933,6.090909090909091,1,0.6666666666666666,0.4,0.5,0,0.13636363636363635,0.2433653303218521,22
2026,7,2026-06-14,3.9850119444124625,3.4545454545454546,0,0.6666666666666666,0.6,0.8,0,0.09090909090909091,0.6984754376058724,22
2026,8,2026-06-28,2.8833131725166483,2.4545454545454546,0,0.6666666666666666,0.8,0.8,0,0.09090909090909091,0.8938452851496332,22
2026,9,2026-07-05,4.651464084619134,4.636363636363637,0,0.6666666666666666,0.4,0.7,0,0.0,0.5550536420101638,22
2026,10,2026-07-19,2.9681179829694186,2.8181818181818183,0,0.6666666666666666,0.6,0.8,0,0.045454545454545456,0.743647656691135,22
2026,11,2026-07-26,3.0516107366756713,2.909090909090909,0,0.3333333333333333,0.6,0.8,0,0.18181818181818182,0.7617165443252402,22
2026,12,2026-08-23,3.5421463564381326,3.0,1,0.3333333333333333,0.8,0.8,0,0.18181818181818182,0.7041219649915303,22
