season,round,race_date,mae_raw_prediction,race_position_mae,winner_correct,top3_overlap,top5_overlap,top10_overlap,podium_exact,exact_position_accuracy,spearman_rank_correlation,grid_size
2025,1,2025-03-16,4.3350045183087,5.0,0,0.3333333333333333,0.6,0.7,0,0.1,0.3804511278195489,20
2025,2,2025-03-23,4.328488081011132,5.3,0,0.3333333333333333,0.6,0.6,0,0.05,0.2992481203007519,20
2025,3,2025-04-06,2.9874538779086017,2.8,0,1.0,0.8,0.7,1,0.15,0.7639097744360903,20
2025,4,2025-04-13,3.204203785794067,3.6,0,0.6666666666666666,0.8,0.7,0,0.0,0.7203007518796991,20
2025,5,2025-04-20,2.9528860523571976,3.0,0,0.6666666666666666,0.8,0.8,0,0.05,0.7473684210526315,20
2025,6,2025-05-04,2.3858667029638463,2.1,0,0.6666666666666666,0.8,1.0,0,0.05,0.9112781954887217,20
2025,7,2025-05-18,3.0598895108253856,3.1,0,1.0,0.6,0.9,1,0.15,0.7007518796992479,20
2025,8,2025-05-25,3.8752664818105416,4.7,0,0.6666666666666666,0.8,0.7,0,0.05,0.4947368421052631,20
2025,9,2025-06-01,4.436253027947145,4.842105263157895,0,0.3333333333333333,0.6,0.6,0,0.05263157894736842,0.39122807017543854,19
2025,10,2025-06-15,3.9820340540667893,4.6,0,0.3333333333333333,0.6,0.7,0,0.15,0.4796992481203006,20
2025,11,2025-06-29,4.340150299628785,5.2,1,0.6666666666666666,0.8,0.6,0,0.1,0.30075187969924805,20
2025,12,2025-07-06,4.520112327295894,5.0,0,0.6666666666666666,0.8,0.6,0,0.15,0.38195488721804516,20
2025,13,2025-07-27,3.829566620356874,3.9,0,0.6666666666666666,0.8,0.7,0,0.1,0.6,20
2025,14,2025-08-03,3.7530704675387887,3.7,1,0.6666666666666666,0.8,0.8,0,0.1,0.6827067669172932,20
2025,15,2025-08-31,5.79948899274415,7.4,0,0.3333333333333333,0.4,0.4,0,0.05,-0.27669172932330827,20
2025,16,2025-09-07,3.1495272293799874,3.2,0,0.6666666666666666,0.8,0.8,0,0.1,0.7578947368421052,20
2025,17,2025-09-21,4.37498730063529,5.0,0,0.3333333333333333,0.4,0.7,0,0.1,0.34285714285714286,20
2025,18,2025-10-05,3.0943834628808613,2.2,0,0.6666666666666666,1.0,0.8,0,0.15,0.8781954887218045,20
2025,19,2025-10-19,3.55308567207378,3.4,1,0.6666666666666666,0.6,0.7,0,0.15,0.6616541353383457,20
2025,20,2025-10-26,3.059655943418898,3.6,0,0.6666666666666666,0.6,0.7,0,0.1,0.6781954887218045,20
2025,21,2025-11-09,4.383802866401316,5.1,0,0.6666666666666666,0.8,0.6,0,0.15,0.33383458646616543,20
2025,22,2025-11-23,4.08289542842118,3.9,1,0.6666666666666666,0.8,0.7,0,0.2,0.4781954887218045,20
2025,23,2025-11-30,3.62972038775568,4.3,1,0.3333333333333333,0.6,0.8,0,0.05,0.5819548872180451,20
2025,24,2025-12-07,3.6966742071557257,3.9,1,0.6666666666666666,0.8,0.7,0,0.1,0.6375939849624059,20
