season,round,race_date,mae_raw_prediction,race_position_mae,winner_correct,top3_overlap,top5_overlap,top10_overlap,podium_exact,exact_position_accuracy,spearman_rank_correlation,grid_size
2025,1,2025-03-16,4.11150003908555,5.3,1,0.3333333333333333,0.6,0.7,0,0.05,0.41052631578947363,20
2025,2,2025-03-23,4.412880371641461,5.4,0,0.6666666666666666,0.6,0.6,0,0.1,0.26917293233082706,20
2025,3,2025-04-06,2.84031881819518,2.5,0,1.0,0.8,0.7,1,0.2,0.8300751879699247,20
2025,4,2025-04-13,2.929349758802886,2.8,0,0.6666666666666666,0.8,0.7,0,0.1,0.8165413533834586,20
2025,5,2025-04-20,2.8181971255757796,3.1,0,0.3333333333333333,1.0,0.8,0,0.15,0.7052631578947368,20
2025,6,2025-05-04,2.576668564116187,2.0,1,0.6666666666666666,0.8,1.0,0,0.25,0.8992481203007519,20
2025,7,2025-05-18,3.044897493797433,2.4,0,1.0,0.8,0.9,1,0.25,0.8045112781954886,20
2025,8,2025-05-25,3.5555132312712168,4.3,0,0.6666666666666666,1.0,0.7,0,0.05,0.5729323308270676,20
2025,9,2025-06-01,3.6860591366713353,4.105263157894737,0,0.6666666666666666,0.6,0.7,0,0.05263157894736842,0.5035087719298245,19
2025,10,2025-06-15,4.262997203788371,5.0,0,0.3333333333333333,0.6,0.7,0,0.15,0.3488721804511278,20
2025,11,2025-06-29,4.314223783635201,5.2,0,0.6666666666666666,0.8,0.6,0,0.05,0.306766917293233,20
2025,12,2025-07-06,4.669060051888565,5.2,1,0.6666666666666666,0.6,0.6,0,0.2,0.306766917293233,20
2025,13,2025-07-27,3.789380124732484,3.9,1,0.6666666666666666,0.8,0.6,0,0.15,0.6285714285714286,20
2025,14,2025-08-03,3.369697963852663,3.7,1,0.6666666666666666,0.8,0.7,0,0.1,0.6977443609022556,20
2025,15,2025-08-31,5.484830197769084,6.7,0,0.3333333333333333,0.4,0.5,0,0.05,-0.12180451127819547,20
2025,16,2025-09-07,2.8192150446306194,2.8,0,0.6666666666666666,0.8,0.8,0,0.15,0.793984962406015,20
2025,17,2025-09-21,4.157805010360199,4.0,0,0.0,0.4,0.8,0,0.05,0.5398496240601504,20
2025,18,2025-10-05,2.9970365426796493,2.0,0,0.6666666666666666,0.8,0.8,0,0.2,0.9037593984962405,20
2025,19,2025-10-19,3.490350272520419,3.4,1,0.6666666666666666,0.6,0.8,0,0.15,0.706766917293233,20
2025,20,2025-10-26,3.039402503070984,3.8,0,1.0,0.6,0.7,1,0.0,0.631578947368421,20
2025,21,2025-11-09,4.194954650602182,5.3,0,0.6666666666666666,0.8,0.5,0,0.0,0.37744360902255636,20
2025,22,2025-11-23,4.323705909218819,4.6,1,0.3333333333333333,0.6,0.7,0,0.05,0.39097744360902253,20
2025,23,2025-11-30,3.6581809622034447,4.3,1,0.3333333333333333,0.8,0.7,0,0.05,0.5654135338345864,20
2025,24,2025-12-07,3.7861651459203345,3.3,0,0.6666666666666666,0.8,0.6,0,0.15,0.6887218045112782,20
